player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches_link,competition_id,season_id,id
/en/players/0313a347/Ezri-Konsa,0313a347,Ezri Konsa,engENG,DF,2023-2024,Aston Villa,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,25,1997,34.1,2094,1896,197,71,1,0,17,123,0,0,0,0,1907,1,24,/en/players/0313a347/matchlogs/2023-2024/passing_types/Ezri-Konsa-Match-Logs,9,2023-2024,3581ed15-f962-4c64-b439-8c661d9a29e5
/en/players/8d3c902d/Cheikhou-Kouyate,8d3c902d,Cheikhou Kouyaté,snSEN,MF,2023-2024,Nott'ham Forest,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,33,1989,2.4,74,73,0,0,0,0,0,0,0,0,0,0,47,1,1,/en/players/8d3c902d/matchlogs/2023-2024/passing_types/Cheikhou-Kouyate-Match-Logs,9,2023-2024,32727db3-5869-4108-9071-248ca1429446
/en/players/79c0821a/Mateo-Kovacic,79c0821a,Mateo Kovačić,hrCRO,MF,2023-2024,Manchester City,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,29,1994,17.2,1527,1491,34,24,4,1,0,2,1,0,0,0,1435,2,10,/en/players/79c0821a/matchlogs/2023-2024/passing_types/Mateo-Kovacic-Match-Logs,9,2023-2024,4a012019-4039-44b1-9194-3f3e152ec814
/en/players/77cf6852/Emil-Krafth,77cf6852,Emil Krafth,seSWE,DF,2023-2024,Newcastle Utd,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,28,1994,10.1,580,514,65,11,0,0,17,53,1,0,0,0,488,1,14,/en/players/77cf6852/matchlogs/2023-2024/passing_types/Emil-Krafth-Match-Logs,9,2023-2024,f1eb30c4-80ad-403b-b19f-bfeac6867af3
/en/players/b62878a5/Mohammed-Kudus,b62878a5,Mohammed Kudus,ghGHA,"FW,MF",2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,22,2000,27.6,875,855,16,8,3,6,94,4,2,1,0,0,677,4,43,/en/players/b62878a5/matchlogs/2023-2024/passing_types/Mohammed-Kudus-Match-Logs,9,2023-2024,c99ae80f-7138-4b40-b320-e5cd92b5c603
/en/players/df3cda47/Dejan-Kulusevski,df3cda47,Dejan Kulusevski,seSWE,"FW,MF",2023-2024,Tottenham,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats,23,2000,30.7,1234,1185,42,8,12,6,89,6,24,6,0,0,953,7,55,/en/players/df3cda47/matchlogs/2023-2024/passing_types/Dejan-Kulusevski-Match-Logs,9,2023-2024,15308dce-cf9d-4583-9247-c7dc05b1b339
/en/players/99813635/Adam-Lallana,99813635,Adam Lallana,engENG,"MF,FW",2023-2024,Brighton,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,35,1988,9.4,509,491,15,5,3,0,7,0,4,0,0,0,451,3,9,/en/players/99813635/matchlogs/2023-2024/passing_types/Adam-Lallana-Match-Logs,9,2023-2024,640acddf-9a3f-494c-800c-c4385c109324
/en/players/f4e433d4/Tariq-Lamptey,f4e433d4,Tariq Lamptey,ghGHA,"DF,FW",2023-2024,Brighton,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,22,2000,10.2,454,400,51,2,0,0,31,49,0,0,0,0,379,3,9,/en/players/f4e433d4/matchlogs/2023-2024/passing_types/Tariq-Lamptey-Match-Logs,9,2023-2024,1fc5f9c5-eb97-4332-ba35-6fa340bad3ca
/en/players/119b9a8e/Aymeric-Laporte,119b9a8e,Aymeric Laporte,esESP,DF,2023-2024,Manchester City,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,29,1994,0.1,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0,/en/players/119b9a8e/matchlogs/2023-2024/passing_types/Aymeric-Laporte-Match-Logs,9,2023-2024,9f4a723a-644e-4c59-86df-21a7fb9e1aa7
/en/players/0ed063d6/Yasser-Larouci,0ed063d6,Yasser Larouci,dzALG,DF,2023-2024,Sheffield Utd,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,22,2001,5.9,185,171,13,0,0,0,6,13,0,0,0,0,131,1,14,/en/players/0ed063d6/matchlogs/2023-2024/passing_types/Yasser-Larouci-Match-Logs,9,2023-2024,e6282297-53e1-47cc-88b1-8c05aa0be9b6
